batch_size,cpus,train_time,speedup,efficiency,best_model_accuracy,ensemble_accuracy,best_val_acc,final_train_loss,final_train_acc,final_val_loss,final_val_acc
32,1,216.6537320613861,1.0,1.0,0.9245710585950145,0.9245710585950145,0.9254307339906384,0.3698464168585136,0.8870116494388738,0.24538418020702102,0.9254307339906384
32,2,207.30389952659607,1.045102058167461,0.5225510290837305,0.9152825161242125,0.9196653136439475,0.9152972811472961,0.4259508078260135,0.8693740327658893,0.281540213353296,0.9152972811472961
32,4,184.00381422042847,1.177441527390538,0.2943603818476345,0.8843788131583534,0.9001668451328535,0.886988347774126,0.6201538373232702,0.801421618852459,0.3657470454098563,0.886988347774126
32,6,192.68040990829468,1.1244201326149421,0.18740335543582368,0.8744677142216799,0.8907288891102423,0.8771536699531919,0.5835036213860892,0.8153816598360656,0.400257088744822,0.8771536699531919
64,1,162.6970407962799,1.0,1.0,0.9195159000921383,0.9195159000921383,0.9205009461209043,0.4215629639146959,0.8706021100266288,0.25708097454537765,0.9205009461209043
64,2,173.1322944164276,0.9397267063587326,0.4698633531793663,0.9044251313594143,0.9113728615185397,0.9061597450453142,0.4966149621358695,0.8486792251454186,0.3074680637635388,0.9061597450453142
64,4,171.42320823669434,0.9490957640440045,0.23727394101100113,0.8824364369848345,0.8904549642652588,0.8818842744746539,0.5512082615022451,0.8273779030054644,0.36852604515250253,0.8818842744746539
64,6,171.17165994644165,0.95049052423273,0.15841508737212165,0.8681923450456956,0.8805189630699505,0.8689124589184344,0.6795544864335021,0.7836513831967213,0.4146757463620082,0.8689124589184344
128,1,146.74041032791138,1.0,1.0,0.9165027267973205,0.9165027267973205,0.9163927895627926,0.427352349594059,0.8707675395296466,0.2671635235469544,0.9163927895627926
128,2,161.14928603172302,0.9105867853427834,0.4552933926713917,0.9033543342381154,0.9124436586398387,0.9046160740962056,0.5064077485210258,0.8431950136612022,0.3167367656889124,0.9046160740962056
128,4,160.2414836883545,0.9157454546121111,0.22893636365302777,0.8737206464626341,0.8887616106780885,0.8766059157454437,0.6350555398750827,0.8018698770491803,0.4006028407842393,0.8766059157454437
128,6,162.05768871307373,0.9054825568178879,0.150913759469648,0.8708319844609906,0.8804940608113155,0.870481027786077,0.6262574973897855,0.8058721823770492,0.4229510780076987,0.870481027786077
